Programa,Tipo de regra,Prescrição da regra,Regra de alerta,codes,Gravidade,Gravidade Code,Origem,Composta,Questionnnaire code
Hospitalização domiciliária,Simples,Parâmetro biométrico,Pressão arterial sistólica < 85 mmHg,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Pressão arterial diastólica < 50 mmHg,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Frequência cardíaca < 40 bpm,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Glicémia capilar <= 40 mg/dl,,Grave,,Programa 2022,ok,pulso?
Hospitalização domiciliária,Simples,Parâmetro biométrico,Pressão arterial sistólica > 180 mmHg,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Pressão arterial diastólica > 110 mmHg,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Frequência de pulso > 120 bpm,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Temperatura corporal >= 39 ºC,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Simples,Parâmetro biométrico,Glicémia capilar >= 270 mg/dl,,Grave,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial sistólica >= 85 mmHg 
& Pressão arterial sistólica < 95 mmHg",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial diastólica >= 50 mmHg 
& Pressão arterial diastólica < 60 mmHg",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca >= 40 bpm 
& Frequência cardíaca < 50 bpm",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Glicémia capilar > 40 mg/sl 
& Glicémia capilar <= 50 mg/dl",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"SpO2 % > 92%
&
SpO2 <= 95%",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial sistólica > 150 mmHg 
& Pressão arterial sistólica <= 180 mmHg",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Pressão arterial diastólica > 100 mmHg 
& Pressão arterial diastólica <= 110 mmHg",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca > 100 bpm 
& Frequência cardíaca <= 120 bpm",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Temperatura corporal >= 38 ºC 
& Temperatura corporal < 39 ºC",,Moderado,,Programa 2022,ok,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Glicémia capilar >= 220 mg/dl 
& Glicémia capilar < 270 mg/dl",,Moderado,,Programa 2022,pl,
Hospitalização domiciliária,Composta,Parâmetro biométrico & Parâmetro biométrico,"Frequência cardíaca > 120 bpm
& SpO2 < 92%",,Grave,,Programa 2022,pl,
Diabetes,Composta,Parâmetro biométrico & Parâmetro biométrico,"Glicémia capilar > 50 mg/dl
& Glicémia capilar <= 70 mg/dl",,Moderado,,Programa 2022,,
Diabetes,Composta,Parâmetro biométrico & Parâmetro biométrico,"Glicémia capilar >= 220 mg/dl
& Glicémia capilar < 250 mg/dl",,Moderado,,Programa 2022,,
Diabetes,Composta,Parâmetro biométrico & Parâmetro biométrico,"Temperatura corporal >= 38 ºC 
& Temperatura corporal < 39 ºC",,Moderado,,Programa 2022,,
Diabetes,Simples,Parâmetro biométrico,Glicémia capilar <= 50 mg/dl,,Grave,,Programa 2022,,
Diabetes,Simples,Parâmetro biométrico,Glicémia capilar >= 250 mg/dl,,Grave,,Programa 2022,,
Diabetes,Simples,Parâmetro biométrico,Temperatura corporal >= 39 ºC,,Grave,,Programa 2022,,
Covid-19,Composta,Parâmetro biométrico & Parâmetro biométrico,"SpO2 % > 92%
&
SpO2 <= 95%",,Moderado,,Programa 2022,,
